,date,testY0,testY1
132,2019-07-13,0.052686326,0.044066764
133,2019-07-14,0.044066764,0.04444965
134,2019-07-15,0.04444965,0.03809146
135,2019-07-16,0.03809146,0.040590547
136,2019-07-17,0.040590547,0.0437204
137,2019-07-18,0.0437204,0.04261376
138,2019-07-19,0.04261376,0.044224463
139,2019-07-20,0.044224463,0.043544836
140,2019-07-21,0.043544836,0.04185033
141,2019-07-22,0.04185033,0.040855236
142,2019-07-23,0.040855236,0.041767932
143,2019-07-24,0.041767932,0.04229307
144,2019-07-25,0.04229307,0.04229498
145,2019-07-26,0.04229498,0.039698884
146,2019-07-27,0.039698884,0.04048448
147,2019-07-28,0.04048448,0.040530577
148,2019-07-29,0.040530577,0.040370293
149,2019-07-30,0.040370293,0.042077474
150,2019-07-31,0.042077474,0.041901372
151,2019-08-01,0.041901372,0.041914523
152,2019-08-02,0.041914523,0.042876273
153,2019-08-03,0.042876273,0.04291363
154,2019-08-04,0.04291363,0.045317687
155,2019-08-05,0.045317687,0.043611385
156,2019-08-06,0.043611385,0.043688506
157,2019-08-07,0.043688506,0.042553842
158,2019-08-08,0.042553842,0.040377244
159,2019-08-09,0.040377244,0.03959527
160,2019-08-10,0.03959527,0.041544147
161,2019-08-11,0.041544147,0.040543653
162,2019-08-12,0.040543653,0.039984748
163,2019-08-13,0.039984748,0.03542029
164,2019-08-14,0.03542029,0.035828575
165,2019-08-15,0.035828575,0.03518045
166,2019-08-16,0.03518045,0.035244882
167,2019-08-17,0.035244882,0.037059575
168,2019-08-18,0.037059575,0.03877894
169,2019-08-19,0.03877894,0.037489705
170,2019-08-20,0.037489705,0.035473965
171,2019-08-21,0.035473965,0.03634136
172,2019-08-22,0.03634136,0.03708365
173,2019-08-23,0.03708365,0.036367998
174,2019-08-24,0.036367998,0.03543113
175,2019-08-25,0.03543113,0.035892256
176,2019-08-26,0.035892256,0.035589375
177,2019-08-27,0.035589375,0.032770634
178,2019-08-28,0.032770634,0.03183998
179,2019-08-29,0.03183998,0.031714752
180,2019-08-30,0.031714752,0.03245823
181,2019-08-31,0.03245823,0.03229981
182,2019-09-01,0.03229981,0.033686645
183,2019-09-02,0.033686645,0.03392282
184,2019-09-03,0.03392282,0.03318867
185,2019-09-04,0.03318867,0.0328151
186,2019-09-05,0.0328151,0.03193701
187,2019-09-06,0.03193701,0.03367099
188,2019-09-07,0.03367099,0.034312308
189,2019-09-08,0.034312308,0.03428115
190,2019-09-09,0.03428115,0.03399518
191,2019-09-10,0.03399518,0.033779517
192,2019-09-11,0.033779517,0.034231745
193,2019-09-12,0.034231745,0.03430379
194,2019-09-13,0.03430379,0.035708673
195,2019-09-14,0.035708673,0.036046192
196,2019-09-15,0.036046192,0.037592374
197,2019-09-16,0.037592374,0.039869517
198,2019-09-17,0.039869517,0.040535152
199,2019-09-18,0.040535152,0.042580448
200,2019-09-19,0.042580448,0.041919895
201,2019-09-20,0.041919895,0.041417897
202,2019-09-21,0.041417897,0.04063218
203,2019-09-22,0.04063218,0.038576737
204,2019-09-23,0.038576737,0.03155768
205,2019-09-24,0.03155768,0.032103933
206,2019-09-25,0.032103933,0.031249115
207,2019-09-26,0.031249115,0.032921
208,2019-09-27,0.032921,0.032906823
209,2019-09-28,0.032906823,0.03204239
210,2019-09-29,0.03204239,0.034072146
211,2019-09-30,0.034072146,0.033450574
212,2019-10-01,0.033450574,0.034175135
213,2019-10-02,0.034175135,0.03303711
214,2019-10-03,0.03303711,0.033392742
215,2019-10-04,0.033392742,0.033271566
216,2019-10-05,0.033271566,0.032558583
217,2019-10-06,0.032558583,0.034260437
218,2019-10-07,0.034260437,0.034452617
219,2019-10-08,0.034452617,0.03677535
220,2019-10-09,0.03677535,0.03649544
221,2019-10-10,0.03649544,0.034570888
222,2019-10-11,0.034570888,0.034248583
223,2019-10-12,0.034248583,0.034462444
224,2019-10-13,0.034462444,0.035459667
225,2019-10-14,0.035459667,0.0343351
226,2019-10-15,0.0343351,0.03327124
227,2019-10-16,0.03327124,0.03362702
228,2019-10-17,0.03362702,0.032683805
229,2019-10-18,0.032683805,0.032542028
230,2019-10-19,0.032542028,0.033072844
231,2019-10-20,0.033072844,0.03295672
232,2019-10-21,0.03295672,0.032425985
233,2019-10-22,0.032425985,0.030310364
234,2019-10-23,0.030310364,0.030325817
235,2019-10-24,0.030325817,0.034307137
236,2019-10-25,0.034307137,0.034011506
237,2019-10-26,0.034011506,0.034972027
238,2019-10-27,0.034972027,0.034678444
239,2019-10-28,0.034678444,0.03616298
240,2019-10-29,0.03616298,0.03501659
241,2019-10-30,0.03501659,0.034835957
242,2019-10-31,0.034835957,0.03486237
243,2019-11-01,0.03486237,0.034837298
244,2019-11-02,0.034837298,0.034519993
245,2019-11-03,0.034519993,0.035340875
246,2019-11-04,0.035340875,0.036037378
247,2019-11-05,0.036037378,0.036444396
248,2019-11-06,0.036444396,0.035707712
249,2019-11-07,0.035707712,0.034932785
250,2019-11-08,0.034932785,0.035068884
251,2019-11-09,0.035068884,0.036008023
252,2019-11-10,0.036008023,0.035167024
253,2019-11-11,0.035167024,0.035445943
254,2019-11-12,0.035445943,0.0357508
255,2019-11-13,0.0357508,0.0352844
256,2019-11-14,0.0352844,0.034128852
257,2019-11-15,0.034128852,0.03472521
258,2019-11-16,0.03472521,0.035085663
259,2019-11-17,0.035085663,0.034151606
260,2019-11-18,0.034151606,0.033489287
261,2019-11-19,0.033489287,0.033138588
262,2019-11-20,0.033138588,0.030169858
263,2019-11-21,0.030169858,0.027868649
264,2019-11-22,0.027868649,0.028483538
265,2019-11-23,0.028483538,0.026458733
266,2019-11-24,0.026458733,0.027049718
267,2019-11-25,0.027049718,0.027577933
268,2019-11-26,0.027577933,0.028427796
269,2019-11-27,0.028427796,0.0281189
270,2019-11-28,0.0281189,0.028872589
271,2019-11-29,0.028872589,0.028306114
272,2019-11-30,0.028306114,0.028035557
273,2019-12-01,0.028035557,0.027593603
274,2019-12-02,0.027593603,0.027375083
275,2019-12-03,0.027375083,0.027100142
276,2019-12-04,0.027100142,0.027633952
277,2019-12-05,0.027633952,0.027587203
278,2019-12-06,0.027587203,0.027526543
279,2019-12-07,0.027526543,0.028057741
280,2019-12-08,0.028057741,0.027424872
281,2019-12-09,0.027424872,0.026989413
282,2019-12-10,0.026989413,0.026454268
283,2019-12-11,0.026454268,0.026859531
284,2019-12-12,0.026859531,0.026726332
285,2019-12-13,0.026726332,0.02629606
286,2019-12-14,0.02629606,0.026342431
287,2019-12-15,0.026342431,0.024395324
288,2019-12-16,0.024395324,0.021925796
289,2019-12-17,0.021925796,0.02421892
290,2019-12-18,0.02421892,0.023479704
291,2019-12-19,0.023479704,0.02343343
292,2019-12-20,0.02343343,0.023222568
293,2019-12-21,0.023222568,0.024124874
294,2019-12-22,0.024124874,0.023327177
295,2019-12-23,0.023327177,0.023399232
296,2019-12-24,0.023399232,0.022920717
297,2019-12-25,0.022920717,0.022866813
298,2019-12-26,0.022866813,0.023054946
299,2019-12-27,0.023054946,0.023269802
300,2019-12-28,0.023269802,0.024593003
301,2019-12-29,0.024593003,0.024175394
302,2019-12-30,0.024175394,0.023538182
303,2019-12-31,0.023538182,0.023753908
304,2020-01-01,0.023753908,0.023080964
305,2020-01-02,0.023080964,0.024482924
306,2020-01-03,0.024482924,0.024675924
307,2020-01-04,0.024675924,0.024917575
308,2020-01-05,0.024917575,0.026569437
309,2020-01-06,0.026569437,0.026470108
310,2020-01-07,0.026470108,0.025990566
311,2020-01-08,0.025990566,0.025479827
312,2020-01-09,0.025479827,0.026524855
313,2020-01-10,0.026524855,0.026316348
314,2020-01-11,0.026316348,0.026891295
315,2020-01-12,0.026891295,0.026617227
316,2020-01-13,0.026617227,0.031104116
317,2020-01-14,0.031104116,0.031161448
318,2020-01-15,0.031161448,0.030778376
319,2020-01-16,0.030778376,0.03210873
320,2020-01-17,0.03210873,0.033063605
321,2020-01-18,0.033063605,0.031315364
322,2020-01-19,0.031315364,0.03134673
323,2020-01-20,0.03134673,0.031883262
324,2020-01-21,0.031883262,0.031591117
325,2020-01-22,0.031591117,0.030473853
326,2020-01-23,0.030473853,0.030499386
327,2020-01-24,0.030499386,0.030131398
328,2020-01-25,0.030131398,0.031545922
329,2020-01-26,0.031545922,0.032140158
330,2020-01-27,0.032140158,0.033272803
331,2020-01-28,0.033272803,0.032997943
332,2020-01-29,0.032997943,0.035005294
333,2020-01-30,0.035005294,0.034061953
334,2020-01-31,0.034061953,0.034793623
335,2020-02-01,0.034793623,0.035823017
336,2020-02-02,0.035823017,0.03608278
337,2020-02-03,0.03608278,0.035954833
338,2020-02-04,0.035954833,0.03907401
339,2020-02-05,0.03907401,0.0407625
340,2020-02-06,0.0407625,0.042908877
341,2020-02-07,0.042908877,0.043070048
342,2020-02-08,0.043070048,0.044144638
343,2020-02-09,0.044144638,0.04310807
344,2020-02-10,0.04310807,0.04566916
345,2020-02-11,0.04566916,0.051740833
346,2020-02-12,0.051740833,0.052325524
347,2020-02-13,0.052325524,0.05583088
348,2020-02-14,0.05583088,0.051590674
349,2020-02-15,0.051590674,0.050878093
350,2020-02-16,0.050878093,0.052065134
351,2020-02-17,0.052065134,0.05521056
352,2020-02-18,0.05521056,0.05082736
353,2020-02-19,0.05082736,0.050351225
354,2020-02-20,0.050351225,0.051859975
355,2020-02-21,0.051859975,0.051131748
356,2020-02-22,0.051131748,0.053488716
357,2020-02-23,0.053488716,0.051746562
358,2020-02-24,0.051746562,0.048326954
359,2020-02-25,0.048326954,0.04361727
360,2020-02-26,0.04361727,0.043526806
361,2020-02-27,0.043526806,0.043829545
362,2020-02-28,0.043829545,0.04238659
363,2020-02-29,0.04238659,0.042101562
364,2020-03-01,0.042101562,0.04454638
365,2020-03-02,0.04454638,0.043304496
366,2020-03-03,0.043304496,0.043251514
367,2020-03-04,0.043251514,0.044175535
368,2020-03-05,0.044175535,0.047194906
369,2020-03-06,0.047194906,0.04604554
370,2020-03-07,0.04604554,0.038570575
371,2020-03-08,0.038570575,0.038441807
372,2020-03-09,0.038441807,0.038396522
373,2020-03-10,0.038396522,0.03711325
374,2020-03-11,0.03711325,0.019704754
375,2020-03-12,0.019704754,0.024227934
376,2020-03-13,0.024227934,0.022245895
377,2020-03-14,0.022245895,0.022621764
378,2020-03-15,0.022621764,0.019575143
379,2020-03-16,0.019575143,0.020316854
380,2020-03-17,0.020316854,0.020395614
381,2020-03-18,0.020395614,0.025030158
382,2020-03-19,0.025030158,0.024049731
383,2020-03-20,0.024049731,0.024155881
384,2020-03-21,0.024155881,0.022223555
385,2020-03-22,0.022223555,0.024573196
386,2020-03-23,0.024573196,0.025442963
387,2020-03-24,0.025442963,0.024885632
388,2020-03-25,0.024885632,0.025361618
389,2020-03-26,0.025361618,0.024461148
390,2020-03-27,0.024461148,0.023828804
391,2020-03-28,0.023828804,0.022727504
392,2020-03-29,0.022727504,0.02425339
393,2020-03-30,0.02425339,0.024399435
394,2020-03-31,0.024399435,0.024658544
395,2020-04-01,0.024658544,0.026041396
396,2020-04-02,0.026041396,0.026107065
397,2020-04-03,0.026107065,0.026819192
398,2020-04-04,0.026819192,0.026455076
399,2020-04-05,0.026455076,0.03170044
400,2020-04-06,0.03170044,0.030964727
401,2020-04-07,0.030964727,0.03250783
402,2020-04-08,0.03250783,0.032125972
403,2020-04-09,0.032125972,0.029518096
404,2020-04-10,0.029518096,0.029446682
405,2020-04-11,0.029446682,0.03012638
406,2020-04-12,0.03012638,0.029098483
407,2020-04-13,0.029098483,0.029335404
408,2020-04-14,0.029335404,0.028463377
409,2020-04-15,0.028463377,0.03237115
410,2020-04-16,0.03237115,0.032272324
411,2020-04-17,0.032272324,0.035434395
412,2020-04-18,0.035434395,0.034346603
413,2020-04-19,0.034346603,0.03235144
414,2020-04-20,0.03235144,0.032488033
415,2020-04-21,0.032488033,0.034565598
416,2020-04-22,0.034565598,0.035059236
417,2020-04-23,0.035059236,0.035966396
418,2020-04-24,0.035966396,0.037246384
419,2020-04-25,0.037246384,0.037636757
420,2020-04-26,0.037636757,0.037620634
421,2020-04-27,0.037620634,0.037863202
422,2020-04-28,0.037863202,0.041726418
423,2020-04-29,0.041726418,0.039735757
424,2020-04-30,0.039735757,0.041122526
425,2020-05-01,0.041122526,0.041387506
426,2020-05-02,0.041387506,0.040480174
427,2020-05-03,0.040480174,0.039919563
428,2020-05-04,0.039919563,0.039579086
429,2020-05-05,0.039579086,0.039034583
430,2020-05-06,0.039034583,0.04086352
431,2020-05-07,0.04086352,0.040916406
432,2020-05-08,0.040916406,0.04058723
433,2020-05-09,0.04058723,0.03581927
434,2020-05-10,0.03581927,0.03523486
435,2020-05-11,0.03523486,0.03595908
436,2020-05-12,0.03595908,0.038035244
437,2020-05-13,0.038035244,0.03882675
438,2020-05-14,0.03882675,0.03727302
439,2020-05-15,0.03727302,0.038343355
440,2020-05-16,0.038343355,0.039682403
441,2020-05-17,0.039682403,0.0412089
442,2020-05-18,0.0412089,0.040988453
443,2020-05-19,0.040988453,0.04027719
444,2020-05-20,0.04027719,0.03816603
445,2020-05-21,0.03816603,0.039691426
446,2020-05-22,0.039691426,0.040041678
447,2020-05-23,0.040041678,0.03873477
448,2020-05-24,0.03873477,0.03931603
449,2020-05-25,0.03931603,0.038572975
