,date,Yhat0,Yhat1
132,2019-11-12,0.03399219,0.03188135
133,2019-11-13,0.03404583,0.032848038
134,2019-11-14,0.035787545,0.034075394
135,2019-11-15,0.036458235,0.034159217
136,2019-11-16,0.035074573,0.033228092
137,2019-11-17,0.034986746,0.032446913
138,2019-11-18,0.035558984,0.03211466
139,2019-11-19,0.033120904,0.0311247
140,2019-11-20,0.032739803,0.031465612
141,2019-11-21,0.034049574,0.032144375
142,2019-11-22,0.03237901,0.030845944
143,2019-11-23,0.03016341,0.029144488
144,2019-11-24,0.03026027,0.02813853
145,2019-11-25,0.029568627,0.02667518
146,2019-11-26,0.027108356,0.025536474
147,2019-11-27,0.027149415,0.025685601
148,2019-11-28,0.029358303,0.027363233
149,2019-11-29,0.028517546,0.027254067
150,2019-11-30,0.030108433,0.02797994
151,2019-12-01,0.029699551,0.02738665
152,2019-12-02,0.02913218,0.02618881
153,2019-12-03,0.027797384,0.025558185
154,2019-12-04,0.02662165,0.025106713
155,2019-12-05,0.028189132,0.025964294
156,2019-12-06,0.027634844,0.025646325
157,2019-12-07,0.027923206,0.025933545
158,2019-12-08,0.028539361,0.025396612
159,2019-12-09,0.028802672,0.023944832
160,2019-12-10,0.025440631,0.022202395
161,2019-12-11,0.024146812,0.023004401
162,2019-12-12,0.027178228,0.02464794
163,2019-12-13,0.027308645,0.024499249
164,2019-12-14,0.025832366,0.023709606
165,2019-12-15,0.026903648,0.023791045
166,2019-12-16,0.02652242,0.022463195
167,2019-12-17,0.023565853,0.021102156
168,2019-12-18,0.021461768,0.020827018
169,2019-12-19,0.024195682,0.022823308
170,2019-12-20,0.024762046,0.02335941
171,2019-12-21,0.025715316,0.023414828
172,2019-12-22,0.02559859,0.022160143
173,2019-12-23,0.024177453,0.020571038
174,2019-12-24,0.021999514,0.020020597
175,2019-12-25,0.022505136,0.020861618
176,2019-12-26,0.024091633,0.021779086
177,2019-12-27,0.023274885,0.021022793
178,2019-12-28,0.023500094,0.021050248
179,2019-12-29,0.023283307,0.02069217
180,2019-12-30,0.024096353,0.021225907
181,2019-12-31,0.023431085,0.021465428
182,2020-01-01,0.023550952,0.022166595
183,2020-01-02,0.025332913,0.02164036
184,2020-01-03,0.024140678,0.020455875
185,2020-01-04,0.021094006,0.019818716
186,2020-01-05,0.024247192,0.022241361
187,2020-01-06,0.025972618,0.022808138
188,2020-01-07,0.025064103,0.022861175
189,2020-01-08,0.025183098,0.023706898
190,2020-01-09,0.026863428,0.025062587
191,2020-01-10,0.02644676,0.024517518
192,2020-01-11,0.027103107,0.02468191
193,2020-01-12,0.02645243,0.024377733
194,2020-01-13,0.027125722,0.024572652
195,2020-01-14,0.026804836,0.02453747
196,2020-01-15,0.027840998,0.02659227
197,2020-01-16,0.030449864,0.029328395
198,2020-01-17,0.032654565,0.0307829
199,2020-01-18,0.032815266,0.030819558
200,2020-01-19,0.03309422,0.031394396
201,2020-01-20,0.03306486,0.031052954
202,2020-01-21,0.032883104,0.030190531
203,2020-01-22,0.031628966,0.029035117
204,2020-01-23,0.031335227,0.02864163
205,2020-01-24,0.030476743,0.028111827
206,2020-01-25,0.029826757,0.028112087
207,2020-01-26,0.03156772,0.026763942
208,2020-01-27,0.03109969,0.02526772
209,2020-01-28,0.026326828,0.02373375
210,2020-01-29,0.029580956,0.028018072
211,2020-01-30,0.032514494,0.030578181
212,2020-01-31,0.033941973,0.032063678
213,2020-02-01,0.03424228,0.03289613
214,2020-02-02,0.035381585,0.03333498
215,2020-02-03,0.036239173,0.033590667
216,2020-02-04,0.035259843,0.0333841
217,2020-02-05,0.035621736,0.03410842
218,2020-02-06,0.03765048,0.036035113
219,2020-02-07,0.03950547,0.038327496
220,2020-02-08,0.04189573,0.040847857
221,2020-02-09,0.044112884,0.04227375
222,2020-02-10,0.044975203,0.042823955
223,2020-02-11,0.04348589,0.04220731
224,2020-02-12,0.044847533,0.043360263
225,2020-02-13,0.048511285,0.04729226
226,2020-02-14,0.05089875,0.050453812
227,2020-02-15,0.055514004,0.054082587
228,2020-02-16,0.054689165,0.053618383
229,2020-02-17,0.053447556,0.05213166
230,2020-02-18,0.052201442,0.051041547
231,2020-02-19,0.05362457,0.05272604
232,2020-02-20,0.05438072,0.053264786
233,2020-02-21,0.05350993,0.052293357
234,2020-02-22,0.05244015,0.05118442
235,2020-02-23,0.053124387,0.05070998
236,2020-02-24,0.053013436,0.05077051
237,2020-02-25,0.05090144,0.0501035
238,2020-02-26,0.0509367,0.05003032
239,2020-02-27,0.048197333,0.047417942
240,2020-02-28,0.046356443,0.045289464
241,2020-02-29,0.04587965,0.04437404
242,2020-03-01,0.04547368,0.04328237
243,2020-03-02,0.043724105,0.041940074
244,2020-03-03,0.043108705,0.042207833
245,2020-03-04,0.04433854,0.043202884
246,2020-03-05,0.045247674,0.0433852
247,2020-03-06,0.04460271,0.04301927
248,2020-03-07,0.04561336,0.04439175
249,2020-03-08,0.047142144,0.045345277
250,2020-03-09,0.04427128,0.042882837
251,2020-03-10,0.040529978,0.03979503
252,2020-03-11,0.039863296,0.038763486
253,2020-03-12,0.039921977,0.03849787
254,2020-03-13,0.03231586,0.031727992
255,2020-03-14,0.028519252,0.027240135
256,2020-03-15,0.025483834,0.023759153
257,2020-03-16,0.025531638,0.023599297
258,2020-03-17,0.022853665,0.021567345
259,2020-03-18,0.02253472,0.020861015
260,2020-03-19,0.02239972,0.020488676
261,2020-03-20,0.024225935,0.022476848
262,2020-03-21,0.024997933,0.023833998
263,2020-03-22,0.02670776,0.02457371
264,2020-03-23,0.02533357,0.023123361
265,2020-03-24,0.024426386,0.02277923
266,2020-03-25,0.025092779,0.02396037
267,2020-03-26,0.026651336,0.025133159
268,2020-03-27,0.027337195,0.025305495
269,2020-03-28,0.02645923,0.024503462
270,2020-03-29,0.025708193,0.023853093
271,2020-03-30,0.0247759,0.022458762
272,2020-03-31,0.024609871,0.022303637
273,2020-04-01,0.023887988,0.022466697
274,2020-04-02,0.025266161,0.023284223
275,2020-04-03,0.026152035,0.024186071
276,2020-04-04,0.026097994,0.024817783
277,2020-04-05,0.028065491,0.025675096
278,2020-04-06,0.027995916,0.024942845
279,2020-04-07,0.028062386,0.026271455
280,2020-04-08,0.029101374,0.028579883
281,2020-04-09,0.03348466,0.031728566
282,2020-04-10,0.033708055,0.031677745
283,2020-04-11,0.031922635,0.03060931
284,2020-04-12,0.031367667,0.029085
285,2020-04-13,0.031604957,0.02847141
286,2020-04-14,0.028700426,0.027284972
287,2020-04-15,0.029503334,0.027938373
288,2020-04-16,0.030379545,0.028125767
289,2020-04-17,0.030632028,0.029172193
290,2020-04-18,0.031894486,0.030627951
291,2020-04-19,0.035343032,0.03329186
292,2020-04-20,0.035186667,0.033456344
293,2020-04-21,0.034660663,0.033289384
294,2020-04-22,0.0336941,0.03245997
295,2020-04-23,0.035018876,0.033271506
296,2020-04-24,0.035567205,0.034080584
297,2020-04-25,0.03636205,0.035267007
298,2020-04-26,0.03786921,0.036113687
299,2020-04-27,0.038949076,0.036644794
300,2020-04-28,0.037796855,0.036380112
301,2020-04-29,0.038269747,0.03662348
302,2020-04-30,0.040398408,0.03882258
303,2020-05-01,0.040191744,0.03971519
304,2020-05-02,0.042986352,0.04119916
305,2020-05-03,0.043034628,0.040651057
306,2020-05-04,0.04150401,0.039504327
307,2020-05-05,0.04042,0.038942408
308,2020-05-06,0.040123153,0.038770724
309,2020-05-07,0.04044689,0.039118085
310,2020-05-08,0.04084765,0.039939366
311,2020-05-09,0.04215483,0.040924445
312,2020-05-10,0.042919476,0.041040312
313,2020-05-11,0.03983673,0.038660005
314,2020-05-12,0.03751178,0.036440294
315,2020-05-13,0.03759868,0.036010455
316,2020-05-14,0.038106352,0.03673209
317,2020-05-15,0.039388783,0.03802544
318,2020-05-16,0.03966253,0.038174987
319,2020-05-17,0.03990268,0.03775586
320,2020-05-18,0.039786845,0.03764023
321,2020-05-19,0.039940327,0.03867661
322,2020-05-20,0.041112684,0.0398715
323,2020-05-21,0.042051356,0.040333364
324,2020-05-22,0.040287063,0.038999382
325,2020-05-23,0.040367037,0.03891006
326,2020-05-24,0.04079707,0.039192572
327,2020-05-25,0.040883962,0.038885705
328,2020-05-26,0.040207442,0.03834748
329,2020-05-27,0.03895962,0.037705258
330,2020-05-28,0.04003801,0.038425628
331,2020-05-29,0.04138052,0.03987198
332,2020-05-30,0.04220117,0.041304514
333,2020-05-31,0.045750506,0.044524793
334,2020-06-01,0.04660592,0.0455412
335,2020-06-02,0.048278175,0.046807468
336,2020-06-03,0.047378022,0.046592075
337,2020-06-04,0.04856118,0.04706143
338,2020-06-05,0.049045645,0.047105066
339,2020-06-06,0.04762453,0.046446394
340,2020-06-07,0.048241228,0.04592882
341,2020-06-08,0.048082378,0.04553158
342,2020-06-09,0.04607082,0.04486222
343,2020-06-10,0.047296703,0.046146225
344,2020-06-11,0.048435707,0.04722181
345,2020-06-12,0.047332592,0.04642919
346,2020-06-13,0.04749385,0.04598154
347,2020-06-14,0.047871858,0.0450638
348,2020-06-15,0.04647384,0.04371732
349,2020-06-16,0.043517742,0.042659942
350,2020-06-17,0.04474812,0.04391209
351,2020-06-18,0.046799205,0.04508677
352,2020-06-19,0.045882646,0.04452802
353,2020-06-20,0.045334525,0.0441047
354,2020-06-21,0.045799606,0.04361514
355,2020-06-22,0.045135837,0.043122377
356,2020-06-23,0.044802975,0.043998767
357,2020-06-24,0.047063466,0.04632017
358,2020-06-25,0.048073437,0.047259018
359,2020-06-26,0.04741813,0.046764437
360,2020-06-27,0.0473869,0.046189304
361,2020-06-28,0.046594612,0.04486851
362,2020-06-29,0.045489933,0.0433826
363,2020-06-30,0.04449572,0.042732954
364,2020-07-01,0.043921925,0.042796236
365,2020-07-02,0.044959947,0.04369206
366,2020-07-03,0.04553194,0.044119306
367,2020-07-04,0.045175537,0.04378112
368,2020-07-05,0.045282196,0.043289848
369,2020-07-06,0.045042973,0.04255587
370,2020-07-07,0.04464388,0.043254357
371,2020-07-08,0.0451497,0.044692345
372,2020-07-09,0.04847733,0.04749462
373,2020-07-10,0.048778564,0.047819525
374,2020-07-11,0.04913544,0.047851376
375,2020-07-12,0.048685994,0.04655581
376,2020-07-13,0.048130594,0.045753635
377,2020-07-14,0.04589621,0.04499964
378,2020-07-15,0.046623226,0.046176907
379,2020-07-16,0.048197463,0.0468933
380,2020-07-17,0.047809243,0.0463337
381,2020-07-18,0.046621077,0.04531446
382,2020-07-19,0.046949293,0.04507858
383,2020-07-20,0.04669942,0.04500208
384,2020-07-21,0.045999072,0.045021225
385,2020-07-22,0.047390033,0.046381935
386,2020-07-23,0.049936134,0.048924327
