,date,close,high,low,open,NVT
0,2017-03-01,17.758000000000006,17.758000000000006,16.97,16.97,7.5761585635329185
1,2017-03-02,19.208,19.246,19.144,19.144,5.164296799972463
2,2017-03-03,19.610000000000007,20.04,19.610000000000007,20.04,5.427845548178139
3,2017-03-04,18.702,18.9,18.66,18.834,8.37128825882741
4,2017-03-05,19.2,19.2,19.15,19.152,9.768699523381658
5,2017-03-06,19.97,20.034,19.958,20.034,5.843831668974595
6,2017-03-07,18.95,19.17,18.95,18.992,8.634382643346752
7,2017-03-08,16.58,17.062,16.5,16.990000000000002,7.958963435994148
8,2017-03-09,18.0,18.254,18.0,18.254,6.024487916804968
9,2017-03-10,19.1,19.43,18.674,19.07,6.632910319469368
10,2017-03-11,21.512000000000004,21.53,21.01,21.01,5.633581019862136
11,2017-03-12,23.6,24.0,23.52,24.0,3.716991768713267
12,2017-03-13,28.846000000000004,29.716,28.76,29.29,4.7628981342413725
13,2017-03-14,28.99,29.932,28.564,28.88000000000001,11.394117949020044
14,2017-03-15,34.996,34.996,34.438,34.438,11.425990448552811
15,2017-03-16,45.488,45.898,45.036,45.898,2.8439551016634934
16,2017-03-17,44.468,44.724,44.036,44.49800000000001,5.583844233677151
17,2017-03-18,33.326,33.326,31.314,32.042,3.816754394896232
18,2017-03-19,42.31,45.002,42.16799999999999,44.322,17.240586026540768
19,2017-03-20,41.91,42.83,40.84200000000001,42.83,13.637397137045586
20,2017-03-21,42.5,42.62,42.2,42.62,6.850153814231758
21,2017-03-22,41.424,41.5,40.9,40.9,7.885932137794469
22,2017-03-23,43.14,43.55,43.054,43.44,7.762985732685235
23,2017-03-24,52.83,52.992,50.182,50.536,5.650312554627858
24,2017-03-25,50.32,50.32,49.74800000000001,50.0,7.442212246428031
25,2017-03-26,50.39,50.822,50.07,50.822,9.378832420771737
26,2017-03-27,48.794,49.08,48.374,49.08,8.173073441117552
27,2017-03-28,50.26800000000001,50.4,50.26,50.372,8.19169377950815
28,2017-03-29,53.252,53.29,53.01000000000001,53.02,6.797627502977343
29,2017-03-30,51.93000000000001,52.604000000000006,51.93000000000001,52.214,5.229051803498548
30,2017-03-31,49.07,49.07,49.07,49.07,6.152053983175364
31,2017-04-01,50.92,50.978,50.494,50.494,9.361148579014802
32,2017-04-02,48.598,48.85,48.462,48.782,5.955941887061194
33,2017-04-03,43.994,44.682,43.042,43.056,5.31289821476074
34,2017-04-04,44.726000000000006,44.726000000000006,43.374,43.374,10.719957876170245
35,2017-04-05,45.478,45.688,45.412,45.54,7.423175015132799
36,2017-04-06,43.51199999999999,43.51199999999999,43.1,43.272,5.235431290408134
37,2017-04-07,42.42,42.774,42.42,42.774,17.60432758859354
38,2017-04-08,44.85,44.88,44.85,44.88,13.383585284154922
39,2017-04-09,43.87,43.87,43.81,43.81,13.3461774858165
40,2017-04-10,43.92,44.122,43.92,44.122,10.525612380466008
41,2017-04-11,43.876000000000005,43.912,43.854,43.912,10.612381708587447
42,2017-04-12,46.54,46.854,46.538,46.854,11.400386925579117
43,2017-04-13,50.242,50.412000000000006,49.63,49.648,15.438376082610146
44,2017-04-14,47.5,47.5,47.404,47.5,12.692667220693236
45,2017-04-15,48.602,48.81,48.338,48.338,25.5894025003081
46,2017-04-16,48.29,48.29,47.994,48.01000000000001,50.46962250580864
47,2017-04-17,48.224,48.28,48.158,48.158,37.87638628098074
48,2017-04-18,49.98,49.99,49.95,49.99,10.65131232065236
49,2017-04-19,47.956,49.57,47.956,49.57,9.560069544862978
50,2017-04-20,49.61,49.666,49.276,49.42,8.254120140917069
51,2017-04-21,48.47,48.87,48.28,48.824,11.72601283302296
52,2017-04-22,48.654,48.71,48.62,48.62,13.091761203484422
53,2017-04-23,48.79,48.79,48.74,48.78,12.996906841110905
54,2017-04-24,50.502,50.958,50.472,50.472,10.67701280765296
55,2017-04-25,50.414,50.6,50.41,50.6,11.588981805658973
56,2017-04-26,53.55,54.036,53.5,53.51800000000001,8.158466062981635
57,2017-04-27,63.386,63.788,62.74400000000001,62.87000000000001,5.969207297751999
58,2017-04-28,72.77199999999999,73.828,70.99,70.99,6.275360314817262
59,2017-04-29,70.28799999999998,71.12,70.28799999999998,70.78,6.4978587016047324
60,2017-04-30,79.69399999999997,79.732,77.79,77.79,5.653131861675764
61,2017-05-01,77.33,77.51,76.87,77.51,3.73478447028276
62,2017-05-02,77.7,77.93,77.176,77.93,4.522664859069895
63,2017-05-03,80.0,80.0,79.96,79.96,4.046421554521981
64,2017-05-04,94.752,95.734,93.692,94.36,3.985101744353534
65,2017-05-05,91.552,92.984,90.976,92.984,3.923087851196383
66,2017-05-06,95.91599999999998,96.02,94.95,95.19,5.892932446847766
67,2017-05-07,92.532,92.742,89.27600000000001,91.242,4.5977012933959625
68,2017-05-08,89.46799999999999,90.6,89.46799999999999,90.6,4.694277925445605
69,2017-05-09,87.436,87.96200000000002,85.86,87.96200000000002,4.687041158926217
70,2017-05-10,89.13399999999999,89.28799999999998,87.928,87.928,4.904159366052368
71,2017-05-11,88.204,88.204,87.992,88.0,4.007304005920947
72,2017-05-12,85.33599999999998,86.43799999999999,85.33599999999998,86.43799999999999,5.052314265827464
73,2017-05-13,87.816,87.816,87.63200000000002,87.682,6.828913242230164
74,2017-05-14,88.874,88.89,88.814,88.868,7.304655019380317
75,2017-05-15,90.232,90.24,89.928,89.928,5.399574075770958
76,2017-05-16,87.904,88.2,87.904,88.0,4.215043062423132
77,2017-05-17,86.91,86.94000000000003,86.36200000000001,86.53200000000002,6.473712162283188
78,2017-05-18,96.466,96.466,95.066,95.262,9.697471100816763
79,2017-05-19,124.818,125.852,122.244,125.852,6.098680299851916
80,2017-05-20,123.234,126.04,123.234,126.04,9.493240291881303
81,2017-05-21,146.882,148.19799999999998,146.0,146.19,7.139941873213301
82,2017-05-22,166.68200000000004,166.68200000000004,139.906,139.906,3.5013992130745493
83,2017-05-23,170.06,170.872,169.134,169.134,5.689166815059929
84,2017-05-24,192.74400000000003,195.242,190.85,195.1,5.885388578488263
85,2017-05-25,180.374,194.408,180.374,193.582,6.309319004997204
86,2017-05-26,165.49400000000003,172.02599999999998,163.81799999999998,163.81799999999998,5.594546696929924
87,2017-05-27,158.60399999999996,158.60399999999996,154.51,155.18200000000004,7.634843371990617
88,2017-05-28,174.0,174.7,173.09599999999998,173.09599999999998,9.298795295131482
89,2017-05-29,194.696,194.696,191.558,193.272,8.82795498970633
90,2017-05-30,229.412,230.336,224.57,224.57,7.699120719400383
91,2017-05-31,228.902,229.248,226.866,226.866,4.12575825832549
92,2017-06-01,220.01,220.522,219.678,220.522,5.563759592305667
93,2017-06-02,222.68400000000003,222.68400000000003,221.31,221.476,5.654464151280199
94,2017-06-03,224.498,225.074,224.47,224.748,5.968671919547582
95,2017-06-04,245.56200000000004,247.338,245.044,247.338,6.735621686184335
96,2017-06-05,248.398,248.51,248.198,248.43400000000003,5.401673924866697
97,2017-06-06,266.94000000000005,266.94000000000005,263.72200000000004,263.72200000000004,4.541863174077773
98,2017-06-07,255.954,257.41600000000005,254.974,255.268,5.149855352299897
99,2017-06-08,260.806,261.124,259.652,259.652,5.951628237358223
100,2017-06-09,280.23400000000004,280.23400000000004,277.1,277.642,5.75727817488182
101,2017-06-10,331.38199999999995,341.742,331.362,335.284,8.232884003006015
102,2017-06-11,338.42800000000005,343.21,336.908,343.21,7.589167199257203
103,2017-06-12,393.4320000000001,393.4320000000001,375.32,375.32,3.553982168926184
104,2017-06-13,388.594,388.744,383.822,383.822,4.32110910584496
105,2017-06-14,341.626,341.626,329.4120000000001,330.912,6.951592934408534
106,2017-06-15,341.782,343.694,336.61400000000003,340.066,4.463800052178539
107,2017-06-16,349.6,351.0,349.6,349.994,5.069554920426817
108,2017-06-17,368.592,368.592,366.006,367.616,9.026705566879006
109,2017-06-18,351.69800000000004,351.82800000000015,348.6760000000001,349.286,9.786326263948446
110,2017-06-19,358.7800000000001,358.7800000000001,355.872,355.872,8.351963803794694
111,2017-06-20,349.7700000000001,351.5499999999999,346.452,351.5499999999999,6.595230237993286
112,2017-06-21,323.12,323.128,305.82,307.774,18.56700212716953
113,2017-06-22,319.6860000000001,320.334,317.082,317.082,11.197644858288816
114,2017-06-23,326.728,326.992,325.6520000000001,326.36400000000003,9.133172952408358
115,2017-06-24,304.624,308.35200000000003,303.6640000000001,304.622,8.277408592258194
116,2017-06-25,278.184,278.184,269.826,271.47799999999995,22.867959043611005
117,2017-06-26,255.046,265.506,254.562,254.594,9.084571767897906
118,2017-06-27,286.57000000000005,286.57000000000005,273.422,281.10200000000003,7.953947442493977
119,2017-06-28,315.696,320.19000000000005,315.696,315.934,8.811688868790737
120,2017-06-29,293.8,295.284,293.79599999999994,295.284,8.32474345455316
121,2017-06-30,282.1260000000001,282.1260000000001,270.89,270.89,9.337575153211748
122,2017-07-01,261.862,264.77200000000005,260.728,263.032,10.315234139045428
123,2017-07-02,284.2,288.7600000000001,284.2,286.726,13.144565687555843
124,2017-07-03,277.01800000000003,277.956,277.01800000000003,277.248,3.770161001411251
125,2017-07-04,270.01,270.81000000000006,269.818,269.818,4.622715076045936
126,2017-07-05,266.77599999999995,267.41,266.296,267.188,13.275923897703324
127,2017-07-06,266.17,267.156,266.17,267.156,11.174559867470183
